"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CLEC4M",-1.89935882434302,4.4310606147541,-6.46771870015427,5.35079573211816e-10,5.27574113392031e-06,11.9939064464754,"Downregulated"
"PHF1",-1.13917925311203,7.05539704918033,-6.43465197042087,6.44798476401895e-10,5.27574113392031e-06,11.8257735916773,"Downregulated"
"CLEC4G",-1.26171123098203,5.65979827868852,-6.20781602889774,2.27804882881413e-09,1.24259970115715e-05,10.6885513844987,"Downregulated"
"TUBG2",-1.30199708160443,7.00172774590164,-4.9949472456112,1.11887658660432e-06,0.00183092964631931,5.12606823870902,"Downregulated"
"OR7E37P",-1.0491162240664,8.02917274590164,-4.55224441695664,8.36225732131742e-06,0.00804941051800226,3.33405765809348,"Downregulated"
"TM7SF2",-1.26658958506224,6.37067323770492,-4.50604552890838,1.02309420608799e-05,0.00930106310467996,3.15495982661677,"Downregulated"
"MAN2A2",-1.08556926694329,7.3249212295082,-4.44341461448601,1.34142459638488e-05,0.0109341599940269,2.91460092528215,"Downregulated"
"OR7E14P",-1.09912464730291,7.91883918032787,-4.33285504461797,2.14856763715155e-05,0.0140636643257392,2.49722051836702,"Downregulated"
"STAB2",-1.19799453665284,4.54990823770492,-4.19259950107113,3.85417357875298e-05,0.0162654907993428,1.98058865365228,"Downregulated"
"TIMD4",-1.45444894882434,4.45436028688525,-4.05888049997864,6.63482766983699e-05,0.0221576163243291,1.50161465181817,"Downregulated"
"COQ8A",-1.36981739972338,6.83231795081967,-3.94224103265245,0.000105370085355558,0.0267705753474107,1.0947964822385,"Downregulated"
"TRIM50",-1.12910161825726,5.70097077868852,-3.87480999131391,0.00013701299515489,0.0302983871988462,0.864326957388085,"Downregulated"
"SLC1A4",-1.12485142461964,6.87186204918033,-3.73789390116045,0.000230978238865844,0.0398278046392766,0.407119703298362,"Downregulated"
"DDT",-1.0384388658368,7.46364549180328,-3.64753487369794,0.000323401555782278,0.0441011921568434,0.113351021688353,"Downregulated"
